Constituency,Surname,Firstname,Gender Id,Party Id,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm
Carlow-Kilkenny,AYLWARD,BOBBY,M,Fianna Fáil,F.F.,10,2289,0,7550,,161,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,BYRNE,HELENA,F,Renua Ireland,R.I.,10,0,1905,992,Excluded,162,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,DEERING,PAT,M,Fine Gael,F.G.,10,0,0,5929,Excluded,163,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,FUNCHION,KATHLEEN,F,Sinn Féin,S.F.,10,0,0,17493,Elected,164,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,HAYES,ALAN,M,Non-Party,NON-P.,10,0,0,2347,Excluded,165,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,HYNES,DENIS,M,The Labour Party,LAB.,10,0,357,2208,Excluded,166,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,McGUINNESS,JOHN,M,Fianna Fáil,F.F.,10,0,0,10558,Elected,167,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,MURNANE O’CONNOR,JENNIFER,F,Fianna Fáil,F.F.,10,0,0,9351,Elected,168,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,NOONAN,MALCOLM,M,Green Party/ Comhaontas Glas,G.P.,10,1731,0,4942,Elected,169,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,O’NEILL,MELISSA,F,Irish Freedom Party,I.F.P.,10,0,2403,431,Excluded,170,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,O'NEILL,PATRICK,M,Fine Gael,F.G.,10,0,0,3674,Excluded,171,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,PHELAN,JOHN PAUL,M,Fine Gael,F.G.,10,0,0,6396,Elected,172,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,WALLACE,ADRIENNE,F,Solidarity - People Before Profit,S.P.B.P.,10,0,0,1558,Excluded,174,1,Ceatharlach-Cill Chainnigh
Carlow-Kilkenny,RAY,ANGELA,F,Non-Party,NON-P.,10,0,2738,214,Excluded,175,1,Ceatharlach-Cill Chainnigh
Cavan-Monaghan,Carthy,Matt,M,Sinn Féin,S.F.,11,0,0,16310,Elected,186,2,An Cabhán-Muineachán
Cavan-Monaghan,Donnelly,Tate,M,Green Party/ Comhaontas Glas,G.P.,11,0,0,2501,Excluded,187,2,An Cabhán-Muineachán
Cavan-Monaghan,Duffy,Joseph,M,Non-Party,NON-P.,11,0,2773,159,Excluded,188,2,An Cabhán-Muineachán
Cavan-Monaghan,Gallagher,Robbie,M,Fianna Fáil,F.F.,11,0,0,5062,Excluded,189,2,An Cabhán-Muineachán
Cavan-Monaghan,Humphreys,Heather,F,Fine Gael,F.G.,11,0,0,12808,Elected,190,2,An Cabhán-Muineachán
Cavan-Monaghan,McIntyre,Sandra,F,Fine Gael,F.G.,11,0,1289,1301,Excluded,191,2,An Cabhán-Muineachán
Cavan-Monaghan,O'Reilly,Sarah,F,Aontú,A.,11,0,0,3840,Excluded,193,2,An Cabhán-Muineachán
Cavan-Monaghan,O'Reilly,T.P.,M,Fine Gael,F.G.,11,3385,0,5124,Excluded,194,2,An Cabhán-Muineachán
Cavan-Monaghan,Smith,Brendan,M,Fianna Fáil,F.F.,11,1027,0,7354,Elected,195,2,An Cabhán-Muineachán
Cavan-Monaghan,Smith,Emmett,M,Solidarity - People Before Profit,S.P.B.P.,11,0,1550,830,Excluded,196,2,An Cabhán-Muineachán
Cavan-Monaghan,Smyth,Niamh,F,Fianna Fáil,F.F.,11,1080,0,5745,Elected,197,2,An Cabhán-Muineachán
Cavan-Monaghan,Tully,Pauline,F,Sinn Féin,S.F.,11,0,0,10166,Elected,198,2,An Cabhán-Muineachán
Cavan-Monaghan,Van Der Spek,Liam,M,The Labour Party,LAB.,11,0,1859,983,Excluded,199,2,An Cabhán-Muineachán
Clare,Barrett,David,M,Non-Party,NON-P.,10,0,2572,400,Excluded,161,3,An Clár
Clare,Breen,Pat,M,Fine Gael,F.G.,10,0,0,5406,Excluded,162,3,An Clár
Clare,Carey,Joe,M,Fine Gael,F.G.,10,555,0,5684,Elected,164,3,An Clár
Clare,Conway,Martin,M,Fine Gael,F.G.,10,0,552,2285,Excluded,165,3,An Clár
Clare,Crowe,Cathal,M,Fianna Fáil,F.F.,10,429,0,8355,Elected,166,3,An Clár
Clare,Dooley,Timmy,M,Fianna Fáil,F.F.,10,1270,0,7763,,167,3,An Clár
Clare,Garvey,Roisin,F,Green Party/ Comhaontas Glas,G.P.,10,0,0,5624,Excluded,168,3,An Clár
Clare,Leahy,Michael,M,Irish Freedom Party,I.F.P.,10,0,2169,704,Excluded,169,3,An Clár
Clare,Leyden,Trudy Ann,F,Non-Party,NON-P.,10,0,2754,218,Excluded,170,3,An Clár
Clare,McInerney,Rita,F,Fianna Fáil,F.F.,10,0,0,4136,Excluded,171,3,An Clár
Clare,McNamara,Michael,M,Non-Party,NON-P.,10,0,0,7332,Elected,172,3,An Clár
Clare,O'Brien,Conor,M,Renua Ireland,R.I.,10,0,2789,187,Excluded,173,3,An Clár
Clare,O'Donohoe,Theresa,F,Solidarity - People Before Profit,S.P.B.P.,10,0,1690,1196,Excluded,174,3,An Clár
Clare,Woulfe,Joseph,M,Non-Party,NON-P.,10,0,1472,1218,Excluded,175,3,An Clár
Clare,Wynne,Violet-Anne,F,Sinn Féin,S.F.,10,0,0,8987,Elected,176,3,An Clár
Cork East,Buckley,Pat,M,Sinn Féin,S.F.,8,0,0,12587,Elected,161,4,Corcaigh Thoir
Cork East,Conor,Hannon,M,Aontú,A.,8,0,1030,1337,Excluded,162,4,Corcaigh Thoir
Cork East,Kiely,Thomas,M,Non-Party,NON-P.,8,0,2099,435,Excluded,163,4,Corcaigh Thoir
Cork East,Linehan-Foley,Mary,F,Non-Party,NON-P.,8,0,0,3903,Excluded,164,4,Corcaigh Thoir
Cork East,O'Connor,James,M,Fianna Fáil,F.F.,8,1178,0,7026,Elected,165,4,Corcaigh Thoir
Cork East,O'Driscoll,Pa,M,Fine Gael,F.G.,8,0,0,4554,Excluded,166,4,Corcaigh Thoir
Cork East,O'Grady,Shane,M,Non-Party,NON-P.,8,0,2394,267,Excluded,167,4,Corcaigh Thoir
Cork East,O'Keeffe,Kevin,M,Fianna Fáil,F.F.,8,1831,0,7414,,168,4,Corcaigh Thoir
