Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Constituency Number,Candidate Id
Carlow-Kilkenny,AYLWARD,BOBBY,,1,0,0,4724,0,0,7550,7550,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,2,0,0,4483,0,241,7550,7791,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,3,0,0,4354,0,129,7550,7920,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,4,0,0,4150,0,204,7550,8124,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,5,0,0,3866,0,284,7550,8408,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,6,0,0,3632,0,234,7550,8642,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,7,0,0,3455,0,177,7550,8819,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,8,0,0,3100,0,355,7550,9174,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,9,0,0,2642,0,458,7550,9632,1,161
Carlow-Kilkenny,AYLWARD,BOBBY,,10,0,10,2289,0,353,7550,9985,1,161
Carlow-Kilkenny,BYRNE,HELENA,,1,0,0,11282,2077,0,992,992,1,162
Carlow-Kilkenny,BYRNE,HELENA,,2,0,0,11110,1905,172,992,1164,1,162
Carlow-Kilkenny,BYRNE,HELENA,Excluded,3,0,3,0,1905,-1164,992,0,1,162
Carlow-Kilkenny,BYRNE,HELENA,Excluded,4,0,3,0,1905,0,992,0,1,162
Carlow-Kilkenny,BYRNE,HELENA,Excluded,5,0,3,0,1905,0,992,0,1,162
Carlow-Kilkenny,BYRNE,HELENA,Excluded,6,0,3,0,1905,0,992,0,1,162
Carlow-Kilkenny,BYRNE,HELENA,Excluded,7,0,3,0,1905,0,992,0,1,162
Carlow-Kilkenny,BYRNE,HELENA,Excluded,8,0,3,0,1905,0,992,0,1,162
Carlow-Kilkenny,BYRNE,HELENA,Excluded,9,0,3,0,1905,0,992,0,1,162
Carlow-Kilkenny,BYRNE,HELENA,Excluded,10,0,3,0,1905,0,992,0,1,162
